_dff      , c110      , DFNFB2         :  DFNFB          ,  ['DF', 'N', 'F', 'B', '', '', ''] 
_dff      , c110      , DFNFQ0         :  DFNFQ          ,  ['DF', 'N', 'F', 'Q', '', '', ''] 
_dff      , c110      , DFNFQ1         :  DFNFQ          ,  ['DF', 'N', 'F', 'Q', '', '', ''] 
_dff      , c110      , DFNFQ2         :  DFNFQ          ,  ['DF', 'N', 'F', 'Q', '', '', ''] 
_dff      , c110      , DFNRB0         :  DFNRB          ,  ['DF', 'N', 'R', 'B', '', '', ''] 
_dff      , c110      , DFNRB1         :  DFNRB          ,  ['DF', 'N', 'R', 'B', '', '', ''] 
_dff      , c110      , DFNRB2         :  DFNRB          ,  ['DF', 'N', 'R', 'B', '', '', ''] 
_dff      , c110      , DFNRQ0         :  DFNRQ          ,  ['DF', 'N', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFNRQ1         :  DFNRQ          ,  ['DF', 'N', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFNRQ2         :  DFNRQ          ,  ['DF', 'N', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFPFB0         :  DFPFB          ,  ['DF', 'P', 'F', 'B', '', '', ''] 
_dff      , c110      , DFPFB1         :  DFPFB          ,  ['DF', 'P', 'F', 'B', '', '', ''] 
_dff      , c110      , DFPFB2         :  DFPFB          ,  ['DF', 'P', 'F', 'B', '', '', ''] 
_dff      , c110      , DFPRB0         :  DFPRB          ,  ['DF', 'P', 'R', 'B', '', '', ''] 
_dff      , c110      , DFPRB1         :  DFPRB          ,  ['DF', 'P', 'R', 'B', '', '', ''] 
_dff      , c110      , DFPRB2         :  DFPRB          ,  ['DF', 'P', 'R', 'B', '', '', ''] 
_dff      , c110      , DFPRQ0         :  DFPRQ          ,  ['DF', 'P', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFPRQ1         :  DFPRQ          ,  ['DF', 'P', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFPRQ2         :  DFPRQ          ,  ['DF', 'P', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFPRQM         :  DFPRQ          ,  ['DF', 'P', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFSCRQ0        :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFSCRQ1        :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , c110      , DFSCRQ2        :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , s65       , DGRNHSV1       :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , s65       , DGRNHSV2       :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , s65       , DGRNHSV4       :  DFCRB          ,  ['DF', 'C', 'R', 'B', '', '', ''] 
_dff      , s65       , DGRNQHSV1      :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , s65       , DGRNQHSV2      :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , s65       , DGRNQHSV4      :  DFCRQ          ,  ['DF', 'C', 'R', 'Q', '', '', ''] 
_dff      , s65       , DGRSNHSV1      :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
_dff      , s65       , DGRSNHSV2      :  DFBRB          ,  ['DF', 'B', 'R', 'B', '', '', ''] 
