*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.0
Date: 		2010-05-06
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.180	2.500	1.32E-01	3.61E-02	9.32E-02	5.61E-03	1.74E-02	1.20E-03	1.52E-02	3.79E-02
0.180	3.000	1.32E-01	3.65E-02	9.40E-02	5.61E-03	1.74E-02	6.30E-04	1.54E-02	3.83E-02
0.180	4.000	1.32E-01	3.67E-02	9.45E-02	5.61E-03	1.74E-02	2.53E-04	1.56E-02	3.86E-02
0.180	5.000	1.32E-01	3.68E-02	9.46E-02	5.61E-03	1.74E-02	1.37E-04	1.56E-02	3.86E-02
0.180	7.000	1.32E-01	3.69E-02	9.48E-02	5.61E-03	1.74E-02	6.24E-05	1.56E-02	3.87E-02
0.180	10.000	1.32E-01	3.69E-02	9.48E-02	5.61E-03	1.74E-02	2.80E-05	1.57E-02	3.87E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M3-M1-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.143	2.74E-01	3.05E-02	9.50E-03	1.53E-02	4.49E-03	1.13E-01	7.62E-03	2.50E-03
0.144	0.153	2.62E-01	3.14E-02	9.78E-03	1.53E-02	4.49E-03	1.06E-01	8.06E-03	2.64E-03
0.144	0.173	2.42E-01	3.32E-02	1.03E-02	1.53E-02	4.49E-03	9.52E-02	8.94E-03	2.93E-03
0.144	0.203	2.19E-01	3.58E-02	1.12E-02	1.53E-02	4.49E-03	8.24E-02	1.02E-02	3.34E-03
0.144	0.253	1.93E-01	3.99E-02	1.25E-02	1.53E-02	4.49E-03	6.72E-02	1.23E-02	4.03E-03
0.144	0.303	1.76E-01	4.38E-02	1.39E-02	1.53E-02	4.49E-03	5.65E-02	1.43E-02	4.70E-03
0.144	0.403	1.56E-01	5.10E-02	1.64E-02	1.53E-02	4.49E-03	4.21E-02	1.78E-02	5.97E-03
0.144	0.503	1.44E-01	5.72E-02	1.88E-02	1.53E-02	4.49E-03	3.26E-02	2.10E-02	7.13E-03
0.144	0.603	1.38E-01	6.27E-02	2.08E-02	1.53E-02	4.49E-03	2.59E-02	2.37E-02	8.17E-03
0.144	0.803	1.31E-01	7.14E-02	2.43E-02	1.53E-02	4.49E-03	1.70E-02	2.81E-02	9.88E-03
0.144	1.003	1.28E-01	7.77E-02	2.68E-02	1.53E-02	4.49E-03	1.15E-02	3.12E-02	1.11E-02
0.144	1.203	1.27E-01	8.22E-02	2.86E-02	1.53E-02	4.49E-03	7.85E-03	3.34E-02	1.21E-02
0.144	1.403	1.26E-01	8.54E-02	2.99E-02	1.53E-02	4.49E-03	5.42E-03	3.50E-02	1.27E-02
0.144	1.603	1.26E-01	8.76E-02	3.08E-02	1.53E-02	4.49E-03	3.78E-03	3.61E-02	1.32E-02
