*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.24
Date: 		2015-1-16
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.180	2.54E-01	1.06E-02	2.38E-03	1.12E-01	4.11E-03
0.180	0.200	2.36E-01	1.09E-02	2.38E-03	1.03E-01	4.27E-03
0.180	0.250	2.03E-01	1.16E-02	2.38E-03	8.60E-02	4.62E-03
0.180	0.300	1.80E-01	1.23E-02	2.38E-03	7.46E-02	4.97E-03
0.180	0.400	1.51E-01	1.37E-02	2.38E-03	5.99E-02	5.64E-03
0.180	0.500	1.33E-01	1.49E-02	2.38E-03	5.07E-02	6.28E-03
0.180	0.600	1.21E-01	1.61E-02	2.38E-03	4.45E-02	6.88E-03
0.180	0.800	1.05E-01	1.84E-02	2.38E-03	3.62E-02	8.02E-03
0.180	1.000	9.57E-02	2.05E-02	2.38E-03	3.10E-02	9.08E-03
0.180	1.200	8.91E-02	2.26E-02	2.38E-03	2.73E-02	1.01E-02
0.180	1.400	8.44E-02	2.44E-02	2.38E-03	2.44E-02	1.10E-02
0.180	1.600	8.08E-02	2.62E-02	2.38E-03	2.21E-02	1.19E-02
0.180	1.800	7.81E-02	2.79E-02	2.38E-03	2.03E-02	1.28E-02
0.180	2.000	7.58E-02	2.96E-02	2.38E-03	1.87E-02	1.36E-02
0.180	2.500	7.19E-02	3.31E-02	2.38E-03	1.56E-02	1.54E-02
0.180	3.000	6.94E-02	3.63E-02	2.38E-03	1.33E-02	1.70E-02
0.180	4.000	6.66E-02	4.15E-02	2.38E-03	1.00E-02	1.95E-02
0.180	5.000	6.51E-02	4.56E-02	2.38E-03	7.85E-03	2.16E-02
0.180	7.000	6.39E-02	5.13E-02	2.38E-03	5.17E-03	2.45E-02
0.180	10.000	6.33E-02	5.60E-02	2.38E-03	3.04E-03	2.68E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M4-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.77E-01	1.06E-02	2.53E-03	1.23E-01	4.03E-03
0.180	0.180	2.54E-01	1.09E-02	2.53E-03	1.12E-01	4.19E-03
0.180	0.200	2.36E-01	1.13E-02	2.53E-03	1.03E-01	4.36E-03
0.180	0.250	2.03E-01	1.20E-02	2.53E-03	8.60E-02	4.74E-03
0.180	0.300	1.80E-01	1.28E-02	2.53E-03	7.46E-02	5.11E-03
0.180	0.400	1.51E-01	1.42E-02	2.53E-03	5.98E-02	5.82E-03
0.180	0.500	1.33E-01	1.55E-02	2.53E-03	5.07E-02	6.47E-03
0.180	0.600	1.21E-01	1.67E-02	2.53E-03	4.44E-02	7.10E-03
0.180	0.800	1.05E-01	1.91E-02	2.53E-03	3.61E-02	8.30E-03
0.180	1.000	9.59E-02	2.14E-02	2.53E-03	3.08E-02	9.42E-03
0.180	1.200	8.93E-02	2.35E-02	2.53E-03	2.71E-02	1.05E-02
0.180	1.400	8.46E-02	2.55E-02	2.53E-03	2.42E-02	1.15E-02
0.180	1.600	8.12E-02	2.74E-02	2.53E-03	2.19E-02	1.24E-02
0.180	1.800	7.84E-02	2.92E-02	2.53E-03	2.00E-02	1.33E-02
0.180	2.000	7.62E-02	3.09E-02	2.53E-03	1.84E-02	1.42E-02
0.180	2.500	7.24E-02	3.47E-02	2.53E-03	1.53E-02	1.61E-02
0.180	3.000	7.00E-02	3.79E-02	2.53E-03	1.29E-02	1.77E-02
0.180	4.000	6.73E-02	4.33E-02	2.53E-03	9.71E-03	2.04E-02
0.180	5.000	6.60E-02	4.73E-02	2.53E-03	7.52E-03	2.24E-02
0.180	7.000	6.48E-02	5.29E-02	2.53E-03	4.90E-03	2.52E-02
0.180	10.000	6.43E-02	5.75E-02	2.53E-03	2.85E-03	2.75E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.180	0.160	2.77E-01	1.22E-02	3.35E-03	1.23E-01	4.41E-03
0.180	0.180	2.54E-01	1.26E-02	3.35E-03	1.12E-01	4.62E-03
0.180	0.200	2.36E-01	1.29E-02	3.35E-03	1.02E-01	4.80E-03
0.180	0.250	2.03E-01	1.39E-02	3.35E-03	8.56E-02	5.28E-03
0.180	0.300	1.80E-01	1.49E-02	3.35E-03	7.42E-02	5.75E-03
0.180	0.400	1.52E-01	1.67E-02	3.35E-03	5.94E-02	6.66E-03
0.180	0.500	1.34E-01	1.84E-02	3.35E-03	5.01E-02	7.51E-03
0.180	0.600	1.22E-01	2.00E-02	3.35E-03	4.37E-02	8.31E-03
0.180	0.800	1.06E-01	2.31E-02	3.35E-03	3.53E-02	9.88E-03
0.180	1.000	9.69E-02	2.60E-02	3.35E-03	2.98E-02	1.13E-02
0.180	1.200	9.07E-02	2.87E-02	3.35E-03	2.59E-02	1.27E-02
0.180	1.400	8.63E-02	3.11E-02	3.35E-03	2.29E-02	1.39E-02
0.180	1.600	8.30E-02	3.34E-02	3.35E-03	2.05E-02	1.50E-02
0.180	1.800	8.05E-02	3.57E-02	3.35E-03	1.85E-02	1.62E-02
0.180	2.000	7.86E-02	3.77E-02	3.35E-03	1.68E-02	1.72E-02
0.180	2.500	7.54E-02	4.21E-02	3.35E-03	1.36E-02	1.94E-02
0.180	3.000	7.35E-02	4.56E-02	3.35E-03	1.12E-02	2.11E-02
0.180	4.000	7.14E-02	5.12E-02	3.35E-03	8.08E-03	2.39E-02
