vias M2_M1 12.280000 47.420000 12.660000 49.360000  R0 4 1
vias M2_M1 7.200000 47.420000 7.580000 49.360000  R0 4 1
vias M1_POLY1 92.055000 65.630000 92.945000 66.050000  R0 1 2
vias M1_POLY1 92.055000 67.030000 92.945000 67.450000  R0 1 2
vias M1_POLY1 84.355000 65.630000 85.245000 66.050000  R0 1 2
vias M1_POLY1 84.355000 67.030000 85.245000 67.450000  R0 1 2
vias M1_POLY1 90.515000 67.030000 91.405000 67.450000  R0 1 2
vias M1_POLY1 88.975000 67.030000 89.865000 67.450000  R0 1 2
vias M1_POLY1 87.435000 67.030000 88.325000 67.450000  R0 1 2
vias M1_POLY1 85.895000 67.030000 86.785000 67.450000  R0 1 2
vias M1_POLY1 49.080000 19.050000 49.970000 19.470000  R0 1 2
vias M1_POLY1 46.640000 19.050000 47.530000 19.470000  R0 1 2
vias M1_POLY1 51.520000 19.050000 52.410000 19.470000  R0 1 2
vias M1_POLY1 44.200000 19.050000 45.090000 19.470000  R0 1 2
vias M1_POLY1 38.900000 19.720000 39.790000 20.140000  R0 1 2
vias M1_POLY1 37.160000 19.720000 38.050000 20.140000  R0 1 2
vias M1_POLY1 35.420000 19.720000 36.310000 20.140000  R0 1 2
vias M1_POLY1 33.680000 19.720000 34.570000 20.140000  R0 1 2
vias M1_POLY1 31.940000 19.720000 32.830000 20.140000  R0 1 2
vias M1_POLY1 30.200000 19.720000 31.090000 20.140000  R0 1 2
vias M1_POLY1 76.740000 14.720000 77.630000 15.140000  R0 1 2
vias M1_POLY1 58.260000 14.720000 59.150000 15.140000  R0 1 2
vias M1_POLY1 73.660000 14.720000 74.550000 15.140000  R0 1 2
vias M1_POLY1 72.120000 14.720000 73.010000 15.140000  R0 1 2
vias M1_POLY1 70.580000 14.720000 71.470000 15.140000  R0 1 2
vias M1_POLY1 69.040000 14.720000 69.930000 15.140000  R0 1 2
vias M1_POLY1 67.500000 14.720000 68.390000 15.140000  R0 1 2
vias M1_POLY1 65.960000 14.720000 66.850000 15.140000  R0 1 2
vias M1_POLY1 64.420000 14.720000 65.310000 15.140000  R0 1 2
vias M1_POLY1 62.880000 14.720000 63.770000 15.140000  R0 1 2
vias M1_POLY1 61.340000 14.720000 62.230000 15.140000  R0 1 2
vias M1_POLY1 81.840000 14.720000 82.730000 15.140000  R0 1 2
vias M1_POLY1 59.800000 14.720000 60.690000 15.140000  R0 1 2
vias M1_POLY1 56.720000 14.720000 57.610000 15.140000  R0 1 2
vias M1_POLY1 75.200000 14.720000 76.090000 15.140000  R0 1 2
vias M1_POLY1 91.080000 14.720000 91.970000 15.140000  R0 1 2
vias M1_POLY1 89.540000 14.720000 90.430000 15.140000  R0 1 2
vias M1_POLY1 88.000000 14.720000 88.890000 15.140000  R0 1 2
vias M1_POLY1 86.460000 14.720000 87.350000 15.140000  R0 1 2
vias M1_POLY1 84.920000 14.720000 85.810000 15.140000  R0 1 2
vias M1_POLY1 83.380000 14.720000 84.270000 15.140000  R0 1 2
vias M1_POLY1 92.620000 14.720000 93.510000 15.140000  R0 1 2
vias M1_POLY1 90.515000 65.630000 91.405000 66.050000  R0 1 2
vias M1_POLY1 88.975000 65.630000 89.865000 66.050000  R0 1 2
vias M1_POLY1 87.435000 65.630000 88.325000 66.050000  R0 1 2
vias M1_POLY1 85.895000 65.630000 86.785000 66.050000  R0 1 2
vias M1_POLY1 2.890000 27.440000 4.250000 27.860000  R0 1 3
vias M1_POLY1 15.600000 27.440000 16.960000 27.860000  R0 1 3
vias M1_POLY1 2.900000 28.720000 4.260000 29.140000  R0 1 3
vias M1_POLY1 15.600000 28.720000 16.960000 29.140000  R0 1 3
vias M1_POLY1 10.520000 27.440000 11.880000 27.860000  MX 1 3
vias M1_POLY1 5.440000 27.440000 6.800000 27.860000  MX 1 3
vias M1_POLY1 13.060000 27.440000 14.420000 27.860000  MX 1 3
vias M1_POLY1 7.980000 27.440000 9.340000 27.860000  MX 1 3
vias M1_POLY1 13.060000 28.720000 14.420000 29.140000  R0 1 3
vias M1_POLY1 10.520000 28.720000 11.880000 29.140000  R0 1 3
vias M1_POLY1 7.980000 28.720000 9.340000 29.140000  R0 1 3
vias M1_POLY1 5.440000 28.720000 6.800000 29.140000  R0 1 3
vias M2_M1 5.410000 27.460000 6.830000 27.840000  R0 1 3
vias M2_M1 7.950000 27.460000 9.370000 27.840000  R0 1 3
vias M2_M1 10.490000 27.460000 11.910000 27.840000  R0 1 3
vias M2_M1 13.030000 27.460000 14.450000 27.840000  R0 1 3
vias M2_M1 13.030000 28.740000 14.450000 29.120000  R0 1 3
vias M2_M1 10.490000 28.740000 11.910000 29.120000  R0 1 3
vias M2_M1 7.950000 28.740000 9.370000 29.120000  R0 1 3
vias M2_M1 5.410000 28.740000 6.830000 29.120000  R0 1 3
vias M3_M2 66.115000 12.560000 68.055000 14.500000  R0 4 4
vias M3_M2 34.025000 17.560000 35.965000 19.500000  R0 4 4
vias M3_M2 39.440000 58.170000 41.380000 60.110000  R0 4 4
vias M3_M2 69.920000 58.170000 71.860000 60.110000  R0 4 4
vias M3_M2 20.220000 47.420000 22.160000 49.360000  R0 4 4
vias M3_M2 20.220000 58.170000 22.160000 60.110000  R0 4 4
vias M3_M2 24.270000 7.220000 26.210000 9.160000  R0 4 4
vias M3_M2 24.270000 47.420000 26.210000 49.360000  R0 4 4
vias M3_M2 19.830000 43.480000 21.770000 45.420000  R0 4 4
vias M3_M2 22.050000 11.155000 23.990000 13.095000  R0 4 4
vias M3_M2 19.830000 15.095000 21.770000 17.035000  R0 4 4
vias M3_M2 22.050000 39.540000 23.990000 41.480000  R0 4 4
vias M1_POLY1 2.665000 55.530000 4.495000 55.950000  R0 1 4
vias M1_POLY1 76.325000 55.530000 78.155000 55.950000  R0 1 4
vias M1_POLY1 73.785000 55.530000 75.615000 55.950000  R0 1 4
vias M1_POLY1 71.245000 55.530000 73.075000 55.950000  R0 1 4
vias M1_POLY1 68.705000 55.530000 70.535000 55.950000  R0 1 4
vias M1_POLY1 66.165000 55.530000 67.995000 55.950000  R0 1 4
vias M1_POLY1 63.625000 55.530000 65.455000 55.950000  R0 1 4
vias M1_POLY1 61.085000 55.530000 62.915000 55.950000  R0 1 4
vias M1_POLY1 58.545000 55.530000 60.375000 55.950000  R0 1 4
vias M1_POLY1 56.005000 55.530000 57.835000 55.950000  R0 1 4
vias M1_POLY1 53.465000 55.530000 55.295000 55.950000  R0 1 4
vias M1_POLY1 50.925000 55.530000 52.755000 55.950000  R0 1 4
vias M1_POLY1 48.385000 55.530000 50.215000 55.950000  R0 1 4
vias M1_POLY1 45.845000 55.530000 47.675000 55.950000  R0 1 4
vias M1_POLY1 43.305000 55.530000 45.135000 55.950000  R0 1 4
vias M1_POLY1 40.765000 55.530000 42.595000 55.950000  R0 1 4
vias M1_POLY1 38.225000 55.530000 40.055000 55.950000  R0 1 4
vias M1_POLY1 35.685000 55.530000 37.515000 55.950000  R0 1 4
vias M1_POLY1 33.145000 55.530000 34.975000 55.950000  R0 1 4
vias M1_POLY1 30.605000 55.530000 32.435000 55.950000  R0 1 4
vias M1_POLY1 28.065000 55.530000 29.895000 55.950000  R0 1 4
vias M1_POLY1 25.525000 55.530000 27.355000 55.950000  R0 1 4
vias M1_POLY1 22.985000 55.530000 24.815000 55.950000  R0 1 4
vias M1_POLY1 20.445000 55.530000 22.275000 55.950000  R0 1 4
vias M1_POLY1 17.905000 55.530000 19.735000 55.950000  R0 1 4
vias M1_POLY1 15.365000 55.530000 17.195000 55.950000  R0 1 4
vias M1_POLY1 12.825000 55.530000 14.655000 55.950000  R0 1 4
vias M1_POLY1 10.285000 55.530000 12.115000 55.950000  R0 1 4
vias M1_POLY1 7.745000 55.530000 9.575000 55.950000  R0 1 4
vias M1_POLY1 5.205000 55.530000 7.035000 55.950000  R0 1 4
vias M2_M1 93.080000 72.610000 93.460000 77.670000  R0 10 1
vias M2_M1 91.540000 72.610000 91.920000 77.670000  R0 10 1
vias M2_M1 88.460000 72.610000 88.840000 77.670000  R0 10 1
vias M2_M1 85.380000 72.610000 85.760000 77.670000  R0 10 1
vias M2_M1 83.840000 72.610000 84.220000 77.670000  R0 10 1
vias M2_M1 70.700000 72.110000 71.080000 77.170000  R0 10 1
vias M2_M1 65.620000 72.110000 66.000000 77.170000  R0 10 1
vias M2_M1 60.540000 72.110000 60.920000 77.170000  R0 10 1
vias M2_M1 55.460000 72.110000 55.840000 77.170000  R0 10 1
vias M2_M1 50.380000 72.110000 50.760000 77.170000  R0 10 1
vias M2_M1 45.300000 72.110000 45.680000 77.170000  R0 10 1
vias M2_M1 40.220000 72.110000 40.600000 77.170000  R0 10 1
vias M2_M1 35.140000 72.110000 35.520000 77.170000  R0 10 1
vias M2_M1 30.060000 72.110000 30.440000 77.170000  R0 10 1
vias M2_M1 24.980000 72.110000 25.360000 77.170000  R0 10 1
vias M2_M1 19.900000 72.110000 20.280000 77.170000  R0 10 1
vias M2_M1 14.820000 72.110000 15.200000 77.170000  R0 10 1
vias M2_M1 9.740000 72.110000 10.120000 77.170000  R0 10 1
vias M2_M1 78.320000 72.110000 78.700000 77.170000  R0 10 1
vias M2_M1 75.780000 72.110000 76.160000 77.170000  R0 10 1
vias M2_M1 4.660000 72.110000 5.040000 77.170000  R0 10 1
vias M2_M1 2.110000 72.110000 2.490000 77.170000  R0 10 1
vias M2_M1 31.325000 4.500000 31.705000 8.000000  R0 7 1
vias M2_M1 52.645000 4.500000 53.025000 8.000000  R0 7 1
vias M2_M1 50.905000 4.500000 51.285000 8.000000  R0 7 1
vias M2_M1 48.465000 4.500000 48.845000 8.000000  R0 7 1
vias M2_M1 46.025000 4.500000 46.405000 8.000000  R0 7 1
vias M2_M1 45.325000 4.500000 45.705000 8.000000  R0 7 1
vias M2_M1 43.585000 4.500000 43.965000 8.000000  R0 7 1
vias M2_M1 40.025000 4.500000 40.405000 8.000000  R0 7 1
vias M2_M1 38.285000 4.500000 38.665000 8.000000  R0 7 1
vias M2_M1 66.985000 4.500000 67.365000 8.000000  R0 7 1
vias M2_M1 34.805000 4.500000 35.185000 8.000000  R0 7 1
vias M2_M1 77.765000 4.500000 78.145000 8.000000  R0 7 1
vias M2_M1 76.225000 4.500000 76.605000 8.000000  R0 7 1
vias M2_M1 56.205000 4.500000 56.585000 8.000000  R0 7 1
vias M2_M1 57.745000 4.500000 58.125000 8.000000  R0 7 1
vias M2_M1 60.825000 4.500000 61.205000 8.000000  R0 7 1
vias M2_M1 63.905000 4.500000 64.285000 8.000000  R0 7 1
